날짜,패션의류
2019-01-01,60
2019-01-02,58
2019-01-03,55
2019-01-04,51
2019-01-05,57
2019-01-06,66
2019-01-07,60
2019-01-08,59
2019-01-09,58
2019-01-10,50
2019-01-11,39
2019-01-12,42
2019-01-13,49
2019-01-14,45
2019-01-15,43
2019-01-16,44
2019-01-17,42
2019-01-18,39
2019-01-19,43
2019-01-20,51
2019-01-21,47
2019-01-22,47
2019-01-23,46
2019-01-24,42
2019-01-25,39
2019-01-26,42
2019-01-27,50
2019-01-28,46
2019-01-29,43
2019-01-30,38
2019-01-31,34
2019-02-01,31
2019-02-02,35
2019-02-03,39
2019-02-04,35
2019-02-05,34
2019-02-06,45
2019-02-07,46
2019-02-08,43
2019-02-09,48
2019-02-10,57
2019-02-11,48
2019-02-12,46
2019-02-13,45
2019-02-14,42
2019-02-15,39
2019-02-16,44
2019-02-17,53
2019-02-18,48
2019-02-19,46
2019-02-20,45
2019-02-21,42
2019-02-22,39
2019-02-23,45
2019-02-24,57
2019-02-25,51
2019-02-26,48
2019-02-27,48
2019-02-28,42
2019-03-01,50
2019-03-02,55
2019-03-03,62
2019-03-04,50
2019-03-05,47
2019-03-06,44
2019-03-07,42
2019-03-08,39
2019-03-09,47
2019-03-10,58
2019-03-11,47
2019-03-12,43
2019-03-13,41
2019-03-14,38
2019-03-15,37
2019-03-16,43
2019-03-17,53
2019-03-18,46
2019-03-19,45
2019-03-20,46
2019-03-21,41
2019-03-22,36
2019-03-23,42
2019-03-24,50
2019-03-25,44
2019-03-26,43
2019-03-27,42
2019-03-28,38
2019-03-29,34
2019-03-30,40
2019-03-31,47
2019-04-01,42
2019-04-02,41
2019-04-03,40
2019-04-04,37
2019-04-05,34
2019-04-06,40
2019-04-07,48
2019-04-08,44
2019-04-09,42
2019-04-10,39
2019-04-11,38
2019-04-12,34
2019-04-13,37
2019-04-14,47
2019-04-15,41
2019-04-16,40
2019-04-17,40
2019-04-18,38
2019-04-19,33
2019-04-20,38
2019-04-21,46
2019-04-22,44
2019-04-23,42
2019-04-24,40
2019-04-25,37
2019-04-26,32
2019-04-27,34
2019-04-28,42
2019-04-29,38
2019-04-30,34
2019-05-01,41
2019-05-02,37
2019-05-03,32
2019-05-04,35
2019-05-05,38
2019-05-06,44
2019-05-07,39
2019-05-08,37
2019-05-09,36
2019-05-10,34
2019-05-11,38
2019-05-12,47
2019-05-13,43
2019-05-14,44
2019-05-15,46
2019-05-16,45
2019-05-17,40
2019-05-18,42
2019-05-19,50
2019-05-20,44
2019-05-21,43
2019-05-22,43
2019-05-23,41
2019-05-24,39
2019-05-25,41
2019-05-26,50
2019-05-27,45
2019-05-28,43
2019-05-29,43
2019-05-30,40
2019-05-31,34
2019-06-01,39
2019-06-02,48
2019-06-03,45
2019-06-04,45
2019-06-05,41
2019-06-06,47
2019-06-07,39
2019-06-08,41
2019-06-09,49
2019-06-10,44
2019-06-11,44
2019-06-12,44
2019-06-13,42
2019-06-14,37
2019-06-15,40
2019-06-16,47
2019-06-17,44
2019-06-18,44
2019-06-19,43
2019-06-20,41
2019-06-21,37
2019-06-22,39
2019-06-23,46
2019-06-24,44
2019-06-25,44
2019-06-26,44
2019-06-27,39
2019-06-28,36
2019-06-29,40
2019-06-30,48
2019-07-01,45
2019-07-02,46
2019-07-03,45
2019-07-04,42
2019-07-05,38
2019-07-06,41
2019-07-07,49
2019-07-08,46
2019-07-09,45
2019-07-10,44
2019-07-11,40
2019-07-12,37
2019-07-13,45
2019-07-14,54
2019-07-15,49
2019-07-16,48
2019-07-17,47
2019-07-18,46
2019-07-19,42
2019-07-20,46
2019-07-21,53
2019-07-22,50
2019-07-23,51
2019-07-24,49
2019-07-25,46
2019-07-26,41
2019-07-27,42
2019-07-28,51
2019-07-29,48
2019-07-30,46
2019-07-31,45
2019-08-01,44
2019-08-02,40
2019-08-03,41
2019-08-04,48
2019-08-05,45
2019-08-06,45
2019-08-07,44
2019-08-08,42
2019-08-09,38
2019-08-10,40
2019-08-11,47
2019-08-12,44
2019-08-13,43
2019-08-14,40
2019-08-15,45
2019-08-16,38
2019-08-17,40
2019-08-18,45
2019-08-19,42
2019-08-20,42
2019-08-21,41
2019-08-22,38
2019-08-23,36
2019-08-24,41
2019-08-25,49
2019-08-26,45
2019-08-27,47
2019-08-28,46
2019-08-29,45
2019-08-30,41
2019-08-31,45
2019-09-01,57
2019-09-02,52
2019-09-03,54
2019-09-04,52
2019-09-05,50
2019-09-06,45
2019-09-07,54
2019-09-08,58
2019-09-09,48
2019-09-10,43
2019-09-11,38
2019-09-12,41
2019-09-13,40
2019-09-14,51
2019-09-15,64
2019-09-16,61
2019-09-17,58
2019-09-18,57
2019-09-19,56
2019-09-20,51
2019-09-21,62
2019-09-22,78
2019-09-23,67
2019-09-24,67
2019-09-25,62
2019-09-26,56
2019-09-27,50
2019-09-28,54
2019-09-29,63
2019-09-30,56
2019-10-01,57
2019-10-02,54
2019-10-03,61
2019-10-04,52
2019-10-05,58
2019-10-06,70
2019-10-07,68
2019-10-08,61
2019-10-09,76
2019-10-10,68
2019-10-11,57
2019-10-12,62
2019-10-13,73
2019-10-14,68
2019-10-15,68
2019-10-16,69
2019-10-17,65
2019-10-18,59
2019-10-19,61
2019-10-20,73
2019-10-21,68
2019-10-22,65
2019-10-23,63
2019-10-24,58
2019-10-25,51
2019-10-26,62
2019-10-27,78
2019-10-28,75
2019-10-29,73
2019-10-30,72
2019-10-31,64
2019-11-01,59
2019-11-02,69
2019-11-03,81
2019-11-04,73
2019-11-05,73
2019-11-06,74
2019-11-07,73
2019-11-08,71
2019-11-09,78
2019-11-10,96
2019-11-11,85
2019-11-12,82
2019-11-13,86
2019-11-14,87
2019-11-15,77
2019-11-16,80
2019-11-17,100
2019-11-18,95
2019-11-19,97
2019-11-20,91
2019-11-21,80
2019-11-22,67
2019-11-23,71
2019-11-24,86
2019-11-25,80
2019-11-26,76
2019-11-27,76
2019-11-28,72
2019-11-29,64
2019-11-30,72
2019-12-01,94
2019-12-02,84
2019-12-03,84
2019-12-04,80
2019-12-05,79
2019-12-06,72
2019-12-07,78
2019-12-08,91
2019-12-09,80
2019-12-10,75
2019-12-11,73
2019-12-12,67
2019-12-13,60
2019-12-14,66
2019-12-15,78
2019-12-16,68
2019-12-17,67
2019-12-18,60
2019-12-19,55
